name,rank,count
POTTS,902,38277
TRUONG,903,38267
COSTA,904,38265
CORREA,905,38232
BLEVINS,906,38229
NIXON,907,38147
CLEMENTS,908,38044
FRY,909,38029
DELAROSA,910,37932
BEST,911,37923
BENTON,912,37912
LUGO,913,37903
PORTILLO,914,37890
DOUGHERTY,915,37884
CRANE,916,37870
HALEY,917,37858
PHAN,918,37836
VILLALOBOS,919,37754
BLANCHARD,920,37695
HORNE,921,37689
FINLEY,922,37672
QUINTANA,923,37657
LYNN,924,37644
ESQUIVEL,925,37578
BEAN,926,37571
DODSON,927,37566
MULLEN,928,37502
XIONG,929,37499
HAYDEN,930,37451
CANO,931,37368
LEVY,932,37228
HUBER,933,37170
RICHMOND,934,37053
MOYER,935,37050
LIM,936,37021
FRYE,937,36973
SHEPPARD,938,36960
MCCARTY,939,36944
AVALOS,940,36922
BOOKER,941,36840
WALLER,942,36805
PARRA,943,36765
WOODWARD,944,36764
JARAMILLO,945,36755
KRUEGER,946,36743
RASMUSSEN,947,36636
BRANDT,948,36613
PERALTA,949,36585
DONALDSON,950,36558
STUART,951,36540
FAULKNER,952,36466
MAYNARD,953,36460
GALINDO,954,36429
COFFEY,955,36423
ESTES,956,36318
SANFORD,957,36312
BURCH,958,36269
MADDOX,959,36250
VO,960,36236
OCONNELL,961,36194
VU,962,36179
ANDERSEN,963,36150
SPENCE,964,36129
MCPHERSON,965,36125
CHURCH,966,36072
SCHMITT,967,36043
STANTON,968,35997
LEAL,969,35958
CHERRY,970,35877
COMPTON,971,35830
DUDLEY,972,35781
SIERRA,973,35770
POLLARD,974,35749
ALFARO,975,35725
HESTER,976,35642
PROCTOR,977,35636
LU,978,35628
HINTON,979,35606
NOVAK,980,35461
GOOD,981,35446
MADDEN,982,35438
MCCANN,983,35408
TERRELL,983,35408
JARVIS,985,35350
DICKSON,986,35312
REYNA,987,35291
CANTRELL,988,35266
MAYO,989,35228
BRANCH,990,35225
HENDRIX,991,35194
ROLLINS,992,35132
ROWLAND,993,35121
WHITNEY,994,35118
DUKE,995,35053
ODOM,996,35020
DAUGHERTY,997,34987
TRAVIS,998,34985
TANG,999,34961
ARCHER,1000,34949
HAAS,1001,34918
GALLOWAY,1002,34909
BRAY,1003,34906
NIEVES,1004,34896
PETTY,1005,34882
MCGRATH,1006,34871
KAUFMAN,1007,34844
HOLDEN,1008,34824
KRAUSE,1009,34722
BAIRD,1010,34721
RIGGS,1011,34506
BRAUN,1012,34491
WERNER,1013,34488
QUINONES,1014,34468
SALDANA,1015,34434
MERCER,1016,34431
HATFIELD,1017,34381
MCNEIL,1018,34368
IRWIN,1019,34297
HOOPER,1020,34247
HAYS,1021,34191
JOYCE,1022,34132
MCKNIGHT,1023,34055
GAMBLE,1024,34005
DOWNS,1025,33922
PIERRE,1026,33913
HANEY,1027,33898
FORBES,1028,33813
SAENZ,1029,33787
DAVIES,1030,33753
VERA,1031,33674
LEVINE,1032,33637
MOONEY,1033,33555
JOHN,1034,33543
ROSA,1035,33521
RIDDLE,1036,33507
KEY,1037,33501
CHO,1038,33490
KAISER,1039,33480
HOLDER,1040,33465
BIRD,1041,33457
BONNER,1042,33446
FERRELL,1043,33418
COTTON,1044,33374
DOTSON,1045,33347
MCGOWAN,1046,33340
BARLOW,1047,33335
SHEA,1048,33329
EWING,1049,33314
BRIGHT,1050,33281
BECERRA,1051,33274
LINDSAY,1052,33255
RITTER,1053,33252
COOLEY,1054,33231
FRITZ,1055,33224
COOKE,1056,33223
DELANEY,1057,33218
AMAYA,1057,33218
CHANEY,1059,33201
KIDD,1060,33186
VELASCO,1061,33078
NGO,1062,33005
CHENG,1063,32982
NEWELL,1064,32909
FREY,1065,32904
CARNEY,1066,32897
BARRIOS,1067,32873
BOLTON,1068,32815
HOLMAN,1069,32788
TOVAR,1070,32760
CARDONA,1071,32727
DAILEY,1072,32719
MERRILL,1073,32620
COWAN,1074,32586
SLATER,1075,32584
ALBERT,1076,32507
JUSTICE,1077,32480
OSBORN,1078,32439
CARVER,1079,32415
LANCASTER,1080,32362
GOFF,1081,32298
ZAPATA,1082,32274
FULTON,1083,32258
KANG,1084,32221
SEARS,1085,32206
LEHMAN,1086,32180
BYERS,1087,32174
SNIDER,1088,32148
LAW,1089,32122
TAN,1090,32120
LAKE,1091,32104
LUTZ,1092,32050
COSTELLO,1093,32043
GAY,1094,32025
GUTHRIE,1095,31956
GALLARDO,1096,31909
WORKMAN,1097,31856
MCFADDEN,1098,31839
BLANCO,1099,31800
GORMAN,1100,31788
KATZ,1101,31780
KUHN,1102,31776
NOEL,1103,31768
VALLE,1104,31716
MARINO,1105,31687
HONG,1106,31670
SPRINGER,1107,31643
PICKETT,1108,31611
AGUILERA,1109,31581
WITT,1110,31575
CARRASCO,1110,31575
DONAHUE,1112,31563
KINNEY,1113,31558
DONNELLY,1114,31505
BRITT,1115,31474
CRAFT,1116,31452
ODELL,1117,31349
DALY,1118,31330
WINTER,1119,31310
ABRAHAM,1120,31303
BAEZ,1121,31298
RODRIGUES,1122,31280
WOOTEN,1123,31249
HARTLEY,1124,31221
NG,1125,31210
KENDALL,1126,31209
CLEVELAND,1127,31123
CROWLEY,1128,31098
PEARCE,1129,31060
DILLARD,1130,31021
WILDER,1131,31018
LANGE,1132,30984
SHOEMAKER,1133,30934
FLANAGAN,1134,30887
BRUNO,1135,30883
SEGURA,1136,30880
BEACH,1137,30867
